            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType       time  ubAlg  umdpAlg     ubTime      ub     lb  p1  p2  p3    disp   dispReal    umdpTime  timeLastEC  ecTtb  ecIterTb  ecNumAlt  ecTime  ecInsertTime  ecNodes  lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
 study-2000-35-010-2         study  2000  35       58   0.1   1998943     1  0.001    ubi      umdp    4.53861    ubi      fer    1.54248      28      9   3   9  15      18         31     2.19451     2.19451      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.588191
 weee-2800-47-050-10          weee  2800  47  3918581   0.5        20     1  0.001    ubi      umdp    12.1719    ubi      fer    10.6389  114566  26378   3   6  19  114566    1.01032    0.564293    0.564293      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.298811
  weee-2400-41-075-6          weee  2400  41  2878792  0.75         9     1  0.001    ubi      umdp    7.62447    ubi      fer    6.40898   80192   5532   3   6  19   80192   0.981346    0.516059    0.516059      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.307036
  weee-1600-29-075-5          weee  1600  29  1279201  0.75         0     1  0.001    ubi      umdp    2.31437    ubi      fer     1.7773   40659  11817   3   6  19   40659    1.05175    0.303327    0.303327      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.219318
 study-2400-41-010-6         study  2400  41       59   0.1   2878742     1  0.001    ubi      umdp    7.41547    ubi      fer    2.61885      30     12   3   9  15      19         31     3.61441     3.61441      0         0         0       0             0        0       0          0        0         0        0       12             NA       0.917651
  weee-1600-29-025-5          weee  1600  29  1279201  0.25         0     1  0.001    ubi      umdp    2.39174    ubi      fer    1.79418   40659  13290   3   6  19   40659    1.05175    0.331196    0.331196      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.240851
 weee-1600-29-075-10          weee  1600  29  1279200  0.75         1     1  0.001    ubi      umdp    2.51405    ubi      fer     1.8299   39733   6693   3   6  19   39733    1.04167    0.437097    0.437097      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.349528
 study-1600-29-010-3         study  1600  29       56   0.1   1279145     1  0.001    ubi      umdp    2.70003    ubi      fer   0.802003      27      9   3   9  15      17         31      1.4889      1.4889      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.486844
  weee-1200-23-075-4          weee  1200  23   719400  0.75         1     1  0.001    ubi      umdp   0.826819    ubi      fer   0.610696   17315   1322   3   6  19   17315    0.91158   0.0864823   0.0864823      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0368436
  weee-2400-41-100-2          weee  2400  41  2878782     1        19     1  0.001    ubi      umdp    1541.82    ubi      fer    6.53722  101478   5802   3   6  19   95020    1.07618     1534.65     1534.65      0         0         0       0             0        0       0          0        0         0        0     6460             NA        0.76943
 study-4000-65-000-2         study  4000  65       62     0   7997939     1  0.001    ubi      umdp    27.3787    ubi      fer    12.7792      32     10   3   9  15      20         31     10.5596     10.5596      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.64255
   weee-800-17-025-8          weee   800  17   319601  0.25         0     1  0.001    ubi      umdp   0.247908    ubi      fer   0.168845    8715    178   3   6  19    8715   0.974881   0.0304634   0.0304634      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0130348
 study-3600-59-000-4         study  3600  59       62     0   6478139     1  0.001    ubi      umdp    21.0607    ubi      fer    9.12265      32     15   3   9  15      20         31     8.58548     8.58548      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.53492
 study-1600-29-000-6         study  1600  29       59     0   1279142     1  0.001    ubi      umdp    2.84072    ubi      fer   0.792416      27     12   3   9  15      17         31     1.58647     1.58647      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.521002
 study-1600-29-000-9         study  1600  29       59     0   1279142     1  0.001    ubi      umdp    2.77884    ubi      fer   0.773333      29     12   3   9  15      19         31     1.54989     1.54989      0         0         0       0             0        0       0          0        0         0        0       11             NA        0.51523
  weee-3200-53-050-1          weee  3200  53  5118359   0.5        42     1  0.001    ubi      umdp    1374.21    ubi      fer     17.148  168015  35634   3   6  19  164997    1.06067     1355.72     1355.72      0         0         0       0             0        0       0          0        0         0        0     3039             NA       0.842356
   weee-800-17-100-1          weee   800  17   319601     1         0     1  0.001    ubi      umdp   0.220368    ubi      fer   0.144145    8243   2466   3   6  19    8243   0.944979   0.0308968   0.0308968      0         0         0       0             0        0       0          0        0         0        0        1             NA      0.0132363
  weee-2400-41-050-5          weee  2400  41  2878790   0.5        11     1  0.001    ubi      umdp    1672.25    ubi      fer    6.49344  102200  11481   3   6  19   95098    1.08252     1665.05     1665.05      0         0         0       0             0        0       0          0        0         0        0     7108             NA       0.772031
  weee-3200-53-025-1          weee  3200  53  5118359  0.25        42     1  0.001    ubi      umdp    1371.57    ubi      fer    17.3729  168015  22495   3   6  19  164997    1.06067     1352.82     1352.82      0         0         0       0             0        0       0          0        0         0        0     3039             NA       0.892495
