            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau     time  umdpAlg     ubTime       ub     lb  p1  p2  p3    disp  dispReal  umdpTime  timeLastEC      ecTtb  ecIterTb  ecNumAlt   ecTime  ecInsertTime    ecNodes      lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
 study-2800-47-000-6         study  2800  47       59     0   3918542     1  0.001   none      umdp    1  1800.03       ec    4.19255       58     13   4   8   8      20        31   1794.03     480.577     37.169        94        96  1793.99       1771.86   37743967     1.26447         82     1171      1013       62        0             NA              0
  weee-1200-23-100-3          weee  1200  23   719398     1         3     1  0.001   none      umdp    1     1800       ec   0.613075   719397   4827   4   8   8   23499   1.07397   1799.23     1796.33    3.67106        70        71  1799.22       1796.55  294186273    0.322126         62      981       657      253        0             NA              0
  weee-1600-29-075-5          weee  1600  29  1279201  0.75         0     1  0.001   none      umdp    1  1800.01       ec    1.83225  1279200  11817   4   8   8   40659   1.05175   1797.92     1792.78    7.22479        76        78  1797.91       1792.83  252726905    0.515635         66     1184       778      328        0             NA              0
  weee-400-11-075-10          weee   400  11    79801  0.75         0     1  0.001   none      umdp    1  22.4756       ec  0.0259225    79800    750   4   8   8    2044  0.944965   22.4368     11.2133   0.044472         1         3  22.4362       22.4307    8477031  0.00242813          2       56        52        1        0             NA              0
   weee-800-17-050-8          weee   800  17   319601   0.5         0     1  0.001   none      umdp    1  1737.78       ec   0.166944   319600     91   4   8   8    8715  0.974881   1737.56     867.816   0.301441         4         6  1737.56       1737.48  399938612   0.0267942          5      226       189       31        0             NA              0
  weee-2000-35-050-5          weee  2000  35  1998997   0.5         4     1  0.001   none      umdp    1  1800.01       ec    3.65534  1998996   8778   4   8   8   69139   1.10335   1795.91     1765.47    34.5361       247       248   1795.9       1771.41  171489044     1.31324        192     1973      1011      714        0             NA              0
  study-400-11-010-9         study   400  11       51   0.1     79750     1  0.001   none      umdp    1  42.5936       ec  0.0149671       50     10   4   8   8      16        31    42.561     23.0394    0.14286        14        21  42.5602       42.4822    9609203   0.0137822         16      166       124       21        0             NA              0
  weee-2800-47-100-2          weee  2800  47  3918567     1        34     1  0.001   none      umdp    1  1800.02       ec    11.0182  3918566  13983   4   8   8  137546   1.10782   1788.08     1593.91    206.093       407       408  1788.05       1709.59  137868825     3.79882        316     3645      1859     1378        0             NA              0
  weee-2800-47-075-5          weee  2800  47  3918584  0.75        17     1  0.001   none      umdp    1  1800.03       ec    10.7863  3918583  17612   4   8   8  134434   1.10525    1788.3     1715.98    84.0375       286       287  1788.27       1732.27  131629002     3.46117        227     3451      1893     1271        0             NA              0
 weee-2000-35-100-10          weee  2000  35  1998996     1         5     1  0.001   none      umdp    1  1800.01       ec    3.55921  1998995   5996   4   8   8   57297   0.99847   1796.04     1790.71    9.29049        27        28  1796.03       1792.94  200459037    0.583724         27     1211      1000      183        0             NA              0
  weee-3200-53-100-2          weee  3200  53  5118369     1        32     1  0.001   none      umdp    1  1800.04       ec    17.4361  5118368  36601   4   8   8  167868   1.06942   1781.37     1719.71    80.2978       163       164  1781.32       1738.62  119680672     3.89077        145     3635      2325     1146        0             NA              0
 study-1200-23-010-6         study  1200  23       58   0.1    719343     1  0.001   none      umdp    1     1800       ec    0.26881       57     14   4   8   8      19        31    1799.5      272.13    2.71359        41        46  1799.49       1797.48  162804723    0.170004         41      450       367       37        0             NA              0
 weee-2800-47-050-10          weee  2800  47  3918581   0.5        20     1  0.001   none      umdp    1  1800.02       ec    10.5255  3918580  26378   4   8   8  114566   1.01032   1788.58      1778.3    21.7039        33        34  1788.55       1781.19  148300859      1.3136         33     1506      1058      414        0             NA              0
   weee-800-17-075-3          weee   800  17   319601  0.75         0     1  0.001   none      umdp    1  564.715       ec   0.170877   319600   1904   4   8   8    9694   1.02114   564.492       564.2    0.51361        17        19   564.49       564.227  126730878   0.0484203         18      388       292       77        0             NA              0
  weee-3200-53-050-7          weee  3200  53  5118363   0.5        38     1  0.001   none      umdp    1  1800.03       ec     16.941  5118362  30573   4   8   8  168866   1.07693   1781.87     1735.51    64.4918       167       169  1781.82       1738.16  134118282     3.55503        143     3030      1719     1142        0             NA              0
   weee-800-17-050-7          weee   800  17   319601   0.5         0     1  0.001   none      umdp    1     1800       ec    0.16576   319600   1381   4   8   8    9088  0.992865   1799.78      753.29   0.374351         9        11  1799.78       1799.65  441293736   0.0278946          9      232       172       49        0             NA              0
  weee-3200-53-100-1          weee  3200  53  5118359     1        42     1  0.001   none      umdp    1  1800.03       ec    16.8364  5118358  23204   4   8   8  168015   1.07073   1781.98     1344.83    455.177       189       190  1781.94       1733.96  108341148     3.68627        178     3364      1994     1180        0             NA              0
 study-2000-35-010-3         study  2000  35       61   0.1   1998940     1  0.001   none      umdp    1  1800.01       ec    1.42891       60     14   4   8   8      20        31   1797.84      1788.5    11.5102        57        58  1797.82       1790.98   75276352    0.563735         54      876       769       49        0             NA              0
