            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal   ubRbTime  ubRbIterToBest      ubrbTtb   ubRbAvgCons  ubRbMinCons  ubRbAvg    ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
  weee-1600-29-075-7          weee  1600  29  1279198  0.75         3     1  0.001   ubrb        ub    1    5.16701       NA             NA      NA          NA          NA      NA   NA       NA    5.16695            1606    0.0192071   63248.70125        38666  0.00000   38666   1.02137       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-050-2          weee  1200  23   719401   0.5         0     1  0.001   ubrb        ub    1    1.88128       NA             NA      NA          NA          NA      NA   NA       NA    1.88123            1237    0.0564224   37759.01833        22314  0.00000   22314   1.04052       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-050-4          weee  2000  35  1998996   0.5         5     1  0.001   ubrb        ub    1    11.7416       NA             NA      NA          NA          NA      NA   NA       NA   11.74154            2067     0.401467  101352.46700        68525  0.00000   68525   1.10061       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3200-53-025-8          weee  3200  53  5118364  0.25        37     1  0.001   ubrb        ub    1    69.1447       NA             NA      NA          NA          NA      NA   NA       NA   69.14466            5128      41.7873  259402.49438       195748  0.00000  195748   1.15977       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-800-17-010-1         study   800  17       55   0.1    319546     1  0.001   ubrb        ub    1   0.531423       NA             NA      NA          NA          NA      NA   NA       NA    0.53137            1389     0.391694      22.54500           20  0.00000      20  35.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-800-17-100-10          weee   800  17   319601     1         0     1  0.001   ubrb        ub    1   0.481596       NA             NA      NA          NA          NA      NA   NA       NA    0.48154             803   0.00212005   17191.97750         9439  0.00000    9439   1.01164       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-800-17-010-2         study   800  17       54   0.1    319547     1  0.001   ubrb        ub    1   0.526223       NA             NA      NA          NA          NA      NA   NA       NA    0.52617             858    0.0381602      22.31625           20  0.00000      20  35.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2800-47-010-1         study  2800  47       60   0.1   3918541     1  0.001   ubrb        ub    1    32.6843       NA             NA      NA          NA          NA      NA   NA       NA   32.68424            2931      1.52953      27.18393           25  0.00000      25  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2400-41-000-9         study  2400  41       60     0   2878741     1  0.001   ubrb        ub    1    19.0818       NA             NA      NA          NA          NA      NA   NA       NA   19.08171            2726      2.58211      27.98708           26  0.00000      26  37.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-100-4          weee  2000  35  1998996     1         5     1  0.001   ubrb        ub    1    11.7167       NA             NA      NA          NA          NA      NA   NA       NA   11.71666            2067     0.394748  101352.46700        68525  0.00000   68525   1.10061       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-025-3          weee  2800  47  3918567  0.25        34     1  0.001   ubrb        ub    1    42.0055       NA             NA      NA          NA          NA      NA   NA       NA   42.00549            2960      2.38524  199239.31750       129302  0.00000  129302   1.07962       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
